latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-26.82633,-55.94086,303.58,1.82,1.32,2021-12-31,0200,T,56,6.1NRT,293.03,9.78,N
-26.82113,-55.94721,304.16,1.82,1.32,2021-12-31,0200,T,59,6.1NRT,292.65,11.19,N
-26.49361,-55.87869,300.55,1.78,1.31,2021-12-31,0200,T,4,6.1NRT,288.03,5.98,N
-26.48175,-55.88015,306.74,1.78,1.31,2021-12-31,0200,T,69,6.1NRT,288.62,14.74,N
-26.43604,-56.87894,314.92,2.09,1.41,2021-12-31,0200,T,90,6.1NRT,295.47,32.04,N
-26.42331,-56.88048,336.73,2.09,1.41,2021-12-31,0200,T,100,6.1NRT,295.09,104.96,N
-26.42529,-56.90132,321.06,2.09,1.41,2021-12-31,0200,T,100,6.1NRT,294.91,47.89,N
-26.05538,-58.43267,309.23,2.66,1.57,2021-12-31,0200,T,77,6.1NRT,296.52,30.59,N
-25.97224,-57.57006,328.08,2.3,1.47,2021-12-31,0200,T,100,6.1NRT,298.29,86.17,N
-26.05173,-58.43988,308.33,2.66,1.57,2021-12-31,0200,T,74,6.1NRT,296.48,29.33,N
-25.42478,-59.16843,327.89,2.96,1.64,2021-12-31,0200,T,100,6.1NRT,298.16,117.82,N
-25.42718,-59.19808,318.54,2.97,1.64,2021-12-31,0200,T,97,6.1NRT,297.32,71.14,N
-25.42518,-59.17508,332.22,2.96,1.64,2021-12-31,0200,T,100,6.1NRT,298.37,144.82,N
-24.97045,-59.48649,307.42,3.08,1.67,2021-12-31,0202,T,66,6.1NRT,297.03,26.18,N
-24.89201,-59.43803,308.74,3.05,1.66,2021-12-31,0202,T,72,6.1NRT,297.72,25.99,N
-24.87457,-59.40934,310.37,3.03,1.66,2021-12-31,0202,T,40,6.1NRT,297.09,29.99,N
-24.87696,-59.43954,311.89,3.05,1.66,2021-12-31,0202,T,60,6.1NRT,297.41,35.59,N
